Заголовок,URL,Дата_публикации,Количество_слов,Основное_ключевое_слово,Мета-описание,Дата_обновления
Маркетинговая воронка vs воронка продаж,/blog/marketingovaya-vs-prodazhnaya-voronka,2024-04-15,1900,маркетинговая воронка,Чем маркетинговая воронка отличается от воронки продаж и как они связаны.,2024-04-15
Как проводить discovery-звонок,/blog/discovery-zvonok,2023-08-12,2300,discovery звонок,Структура и скрипт discovery-звонка для B2B-продаж.,2023-08-12
Обзор Salesforce для российского рынка,/blog/salesforce-rossiya,2022-01-20,2000,salesforce россия,,2022-01-20
Метрики email-маркетинга: что отслеживать,/blog/metriki-email-marketinga,2024-06-18,1600,метрики email маркетинга,Какие метрики email-рассылок отслеживать и как их улучшить.,2024-06-18
Как составить портрет целевого клиента,/blog/portret-celevogo-klienta,2023-11-08,2400,портрет целевого клиента,Методика составления портрета идеального клиента для B2B и B2C.,2023-11-08
Deal desk: что это и нужен ли вашей компании,/blog/deal-desk,2024-08-28,2100,deal desk,Что такое Deal Desk и когда пора его создавать.,2024-08-28
Как выстроить партнёрские продажи,/blog/partnyorskie-prodazhi,2023-04-30,1800,партнёрские продажи,,2023-04-30
Прогнозирование продаж: методы и инструменты,/blog/prognozirovanie-prodazh,2024-02-18,2900,прогнозирование продаж,Методы прогнозирования продаж для малого и среднего бизнеса.,2024-02-18
Как уменьшить отток клиентов,/blog/ottok-klientov,2023-10-05,2600,отток клиентов,Причины оттока и 8 стратегий удержания клиентов.,2024-03-20
Что такое RevOps,/blog/revops,2024-07-14,2000,revops,Revenue Operations: объединение продаж маркетинга и CS.,2024-07-14
Нотификации в CRM: как не утонуть,/blog/notifikacii-crm,2022-08-30,700,уведомления crm,,2022-08-30
Onboarding клиентов: чек-лист,/blog/onboarding-klientov,2024-05-06,2200,onboarding клиентов,Чек-лист онбординга новых клиентов для SaaS и сервисных компаний.,2024-05-06
Квалификация лидов: BANT MEDDIC CHAMP,/blog/kvalifikaciya-lidov,2024-03-28,3200,квалификация лидов,Сравнение фреймворков квалификации: BANT MEDDIC и CHAMP.,2024-03-28
CRM для стартапа: что выбрать,/blog/crm-startup,2023-01-25,1400,crm для стартапа,,2023-01-25
Как автоматизировать follow-up,/blog/avtomatizaciya-follow-up,2024-09-22,1700,автоматизация follow-up,Как настроить автоматические напоминания и follow-up в CRM.,2024-09-22
Чат-бот vs живой оператор: что выбрать,/blog/chat-bot-vs-operator,2023-05-30,1500,чат-бот или оператор,,2023-05-30
Как продавать через WhatsApp,/blog/prodazhi-whatsapp,2024-01-08,2300,продажи whatsapp,Как использовать WhatsApp Business для продаж и поддержки.,2024-01-08
Миграция данных при смене CRM,/blog/migraciya-dannyh-crm,2023-08-03,2800,миграция данных crm,Пошаговая инструкция по переносу данных между CRM-системами.,2023-08-03
Обзор HubSpot для русскоязычных команд,/blog/hubspot-obzor,2022-11-22,1900,hubspot обзор,,2022-11-22
Как внедрить AI в продажи,/blog/ai-v-prodazhah,2024-10-01,3500,ai в продажах,Практические способы применения AI в продажах: от скоринга до прогнозирования.,2024-12-15
Техники закрытия сделок,/blog/tehniki-zakrytiya-sdelok,2023-06-08,2100,закрытие сделок,7 техник закрытия сделок для B2B-продаж.,2023-06-08
Обзор Pipedrive,/blog/obzor-pipedrive,2022-04-12,500,pipedrive обзор,,2022-04-12
SLA в продажах: зачем и как установить,/blog/sla-v-prodazhah,2024-06-10,1800,sla в продажах,Как установить SLA для отдела продаж и контролировать их выполнение.,2024-06-10
Контент-маркетинг для B2B,/blog/kontent-marketing-b2b,2024-04-02,3100,контент маркетинг b2b,Стратегия контент-маркетинга для B2B: форматы каналы и метрики.,2024-04-02
Что такое sales enablement,/blog/sales-enablement,2024-08-05,2400,sales enablement,Sales Enablement: как снабжать продажников нужными материалами в нужный момент.,2024-08-05
Как нанять менеджера по продажам,/blog/najm-menedzhera-prodazh,2023-02-28,2600,найм менеджера по продажам,На что обращать внимание при найме менеджера по продажам.,2023-02-28
Работа с возражениями клиентов,/blog/rabota-s-vozrazheniyami,2023-09-19,2000,работа с возражениями,,2023-09-19
CRM для B2B: на что обратить внимание,/blog/crm-b2b,2024-07-22,2700,crm для b2b,Критерии выбора CRM для B2B-компаний: интеграции воронка аналитика.,2024-07-22
Как провести CustDev-интервью,/blog/custdev-intervyu,2024-02-05,2300,custdev интервью,Пошаговый гайд по проведению CustDev-интервью.,2024-02-05
Персонализация в продажах,/blog/personalizaciya-prodazhi,2023-12-04,1600,персонализация в продажах,,2023-12-04
Дашборд руководителя продаж: что включить,/blog/dashbord-rukovoditelya,2024-09-08,2500,дашборд продаж,Какие метрики должны быть на дашборде руководителя продаж.,2024-09-08
Как считать unit-экономику,/blog/unit-ekonomika,2024-03-18,2800,unit-экономика,Как рассчитать unit-экономику продукта: CAC LTV и другие метрики.,2024-03-18
Обзор YClients для сферы услуг,/blog/yclients-obzor,2023-03-15,1200,yclients обзор,,2023-03-15
Как выбрать сервис для рассылок,/blog/servis-dlya-rassylok,2022-06-28,1500,сервис email рассылок,,2022-06-28
